district_name,district_name_lgd,lgd_code,state_name
Kupwara,Kupwara,8,Jammu & Kashmir
Badgam,Budgam,2,Jammu & Kashmir
Leh(Ladakh),Leh Ladakh,9,Jammu & Kashmir
Kargil,Kargil,6,Jammu & Kashmir
Punch,Poonch,10,Jammu & Kashmir
Rajouri,Rajouri,12,Jammu & Kashmir
Kathua,Kathua,7,Jammu & Kashmir
Baramula,Baramulla,3,Jammu & Kashmir
Bandipore,Bandipora,623,Jammu & Kashmir
Srinagar,Srinagar,13,Jammu & Kashmir
Ganderbal,Ganderbal,626,Jammu & Kashmir
Pulwama,Pulwama,11,Jammu & Kashmir
Shupiyan,Shopian,625,Jammu & Kashmir
Anantnag,Anantnag,1,Jammu & Kashmir
Kulgam,Kulgam,622,Jammu & Kashmir
Doda,Doda,4,Jammu & Kashmir
Ramban,Ramban,621,Jammu & Kashmir
Kishtwar,Kishtwar,620,Jammu & Kashmir
Udhampur,Udhampur,14,Jammu & Kashmir
Reasi,Reasi,627,Jammu & Kashmir
Jammu,Jammu,5,Jammu & Kashmir
Samba,Samba,624,Jammu & Kashmir
Chamba,Chamba,16,Himachal Pradesh
Kangra,Kangra,18,Himachal Pradesh
Lahul & Spiti,Lahaul And Spiti,21,Himachal Pradesh
Kullu,Kullu,20,Himachal Pradesh
Mandi,Mandi,22,Himachal Pradesh
Hamirpur,Hamirpur,17,Himachal Pradesh
Una,Una,26,Himachal Pradesh
Bilaspur,Bilaspur,15,Himachal Pradesh
Solan,Solan,25,Himachal Pradesh
Sirmaur,Sirmaur,24,Himachal Pradesh
Shimla,Shimla,23,Himachal Pradesh
Kinnaur,Kinnaur,19,Himachal Pradesh
Gurdaspur,Gurdaspur,32,Punjab
Kapurthala ,Kapurthala,35,Punjab
Jalandhar,Jalandhar,34,Punjab
Hoshiarpur,Hoshiarpur,33,Punjab
Shahid Bhagat Singh Nagar ,Shahid Bhagat Singh Nagar,40,Punjab
Fatehgarh Sahib,Fatehgarh Sahib,30,Punjab
Ludhiana,Ludhiana,36,Punjab
Moga,Moga,38,Punjab
Firozpur,Ferozepur,31,Punjab
Muktsar,Sri Muktsar Sahib,39,Punjab
Faridkot,Faridkot,29,Punjab
Bathinda,Bathinda,28,Punjab
Mansa,Mansa,37,Punjab
Patiala,Patiala,41,Punjab
Amritsar ,Amritsar,27,Punjab
Tarn Taran,Tarn Taran,609,Punjab
Rupnagar,Rupnagar,42,Punjab
Sahibzada Ajit Singh Nagar,S.A.S Nagar,608,Punjab
Sangrur,Sangrur,43,Punjab
Barnala,Barnala,605,Punjab
Chandigarh,Chandigarh,44,Chandigarh
Uttarkashi,Uttarkashi,57,Uttarakhand
Chamoli,Chamoli,47,Uttarakhand
Rudraprayag,Rudraprayag,54,Uttarakhand
Tehri Garhwal,Tehri Garhwal,55,Uttarakhand
Dehradun,Dehradun,49,Uttarakhand
Garhwal,Pauri Garhwal,52,Uttarakhand
Pithoragarh,Pithoragarh,53,Uttarakhand
Bageshwar,Bageshwar,46,Uttarakhand
"Almora
",Almora,45,Uttarakhand
Champawat,Champawat,48,Uttarakhand
Nainital,Nainital,51,Uttarakhand
Udham Singh Nagar,Udham Singh Nagar,56,Uttarakhand
Hardwar,Haridwar,50,Uttarakhand
Panchkula,Panchkula,70,Haryana
Ambala,Ambala,58,Haryana
Yamunanagar,Yamunanagar,76,Haryana
Kurukshetra,Kurukshetra,68,Haryana
Kaithal,Kaithal,66,Haryana
Karnal,Karnal,67,Haryana
Panipat,Panipat,71,Haryana
Sonipat,Sonipat,75,Haryana
Jind,Jind,65,Haryana
Fatehabad,Fatehabad,61,Haryana
Sirsa,Sirsa,74,Haryana
Hisar,Hisar,63,Haryana
Bhiwani,Bhiwani,59,Haryana
Rohtak,Rohtak,73,Haryana
Jhajjar,Jhajjar,64,Haryana
Mahendragarh,Mahendragarh,69,Haryana
Rewari,Rewari,72,Haryana
Gurgaon,Gurugram,62,Haryana
Mewat ,Nuh,604,Haryana
Faridabad,Faridabad,60,Haryana
Palwal ,Palwal,619,Haryana
North West,North West,82,NCT of Delhi
North,North,80,NCT of Delhi
North East,North East,81,NCT of Delhi
East,East,78,NCT of Delhi
New Delhi,New Delhi,79,NCT of Delhi
Central,Central,77,NCT of Delhi
West,West,85,NCT of Delhi
South West,South West,84,NCT of Delhi
South,South,83,NCT of Delhi
Ganganagar ,Ganganagar,100,Rajasthan
Hanumangarh,Hanumangarh,101,Rajasthan
Bikaner,Bikaner,93,Rajasthan
Churu,Churu,96,Rajasthan
Jhunjhunun,Jhunjhunu,106,Rajasthan
Alwar,Alwar,87,Rajasthan
Bharatpur,Bharatpur,91,Rajasthan
Dhaulpur,Dholpur,98,Rajasthan
Karauli,Karauli,108,Rajasthan
Sawai Madhopur,Sawai Madhopur,113,Rajasthan
Dausa,Dausa,97,Rajasthan
